seed,method,n_train,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
23,reliability_score,144,0.72,0.0,0.28
24,reliability_score,144,0.72,0.0,0.28
25,reliability_score,144,0.72,0.0,0.28
26,reliability_score,144,0.72,0.0,0.28
27,reliability_score,144,0.72,0.0,0.28
28,reliability_score,144,0.72,0.0,0.28
29,reliability_score,144,0.72,0.0,0.28
30,reliability_score,144,0.72,0.0,0.28
31,reliability_score,144,0.72,0.0,0.28
32,reliability_score,144,0.72,0.0,0.28
33,reliability_score,144,0.72,0.0,0.28
34,reliability_score,144,0.72,0.0,0.28
35,reliability_score,144,0.72,0.0,0.28
36,reliability_score,144,0.72,0.0,0.28
37,reliability_score,144,0.72,0.0,0.28
38,reliability_score,144,0.72,0.0,0.28
39,reliability_score,144,0.72,0.0,0.28
40,reliability_score,144,0.72,0.0,0.28
41,reliability_score,144,0.72,0.0,0.28
42,reliability_score,144,0.72,0.0,0.28
43,reliability_score,144,0.72,0.0,0.28
44,reliability_score,144,0.72,0.0,0.28
45,reliability_score,144,0.72,0.0,0.28
46,reliability_score,144,0.72,0.0,0.28
47,reliability_score,144,0.72,0.0,0.28
48,reliability_score,144,0.72,0.0,0.28
49,reliability_score,144,0.72,0.0,0.28
