seed,method,violations,goal_rate,final_return,n_hardened_regions
13,conformal_sgpo,33,0.0,0.08599243165564535,1
14,conformal_sgpo,22,0.0,0.5805059797195253,1
15,conformal_sgpo,50,0.0,-0.014568619759971623,1
16,conformal_sgpo,12,0.0,-2.0602737926305097,1
17,conformal_sgpo,12,0.0,0.05034783840295086,1
18,conformal_sgpo,73,0.0,-2.412277313937592,3
19,conformal_sgpo,43,0.0,-0.06467932271606251,1
20,conformal_sgpo,37,0.0,-2.715086513839905,1
21,conformal_sgpo,7,0.0,0.009056987929658745,1
22,conformal_sgpo,39,0.0,-2.662198099965482,1
23,conformal_sgpo,9,0.0,-0.03611845414720728,1
24,conformal_sgpo,14,0.0,-3.164429531656399,1
25,conformal_sgpo,5,0.0,0.009717920099702302,1
26,conformal_sgpo,2,0.0,0.06217972100669355,1
27,conformal_sgpo,9,0.0,-0.001807881822873444,1
28,conformal_sgpo,6,0.0,-2.6327898047066727,1
29,conformal_sgpo,17,0.0,-0.01676233667180213,1
30,conformal_sgpo,7,0.0,0.1269404720229318,1
31,conformal_sgpo,11,0.0,0.027768916378719314,1
32,conformal_sgpo,3,0.0,-1.3035510083419615,1
33,conformal_sgpo,20,0.0,0.2553182769511462,1
34,conformal_sgpo,19,0.0,0.007467495350069861,1
35,conformal_sgpo,7,0.0,0.047344466615758786,1
36,conformal_sgpo,16,0.0,-0.4376841795397777,1
37,conformal_sgpo,51,0.0,-0.9528924007272139,1
38,conformal_sgpo,18,0.0,0.05564210967852886,1
39,conformal_sgpo,54,0.0,-0.08301921675852313,1
40,conformal_sgpo,5,0.0,-2.792348512401737,1
41,conformal_sgpo,7,0.0,-0.034778005234172654,1
42,conformal_sgpo,22,0.0,0.011386947992539724,1
43,conformal_sgpo,0,0.0,-1.323622863311352,1
44,conformal_sgpo,31,0.0,0.02010564774672219,1
45,conformal_sgpo,12,0.0,0.13038792598111576,1
46,conformal_sgpo,17,0.0,-3.626422372359179,1
47,conformal_sgpo,21,0.0,0.05147121469455301,1
48,conformal_sgpo,23,0.0033333333333333335,-0.011708231174591846,1
49,conformal_sgpo,31,0.0,0.7187002261130243,1
0,conformal_sgpo_anis,8,0.0,0.12114528381644141,1
1,conformal_sgpo_anis,7,0.0,-0.772487955246287,1
2,conformal_sgpo_anis,38,0.0,0.08997179370620824,2
3,conformal_sgpo_anis,5,0.0,0.475773619407481,1
4,conformal_sgpo_anis,309,0.0,-95.72215450578159,2
5,conformal_sgpo_anis,36,0.0,-2.4982019933283017,1
6,conformal_sgpo_anis,31,0.0,-0.16723486145094849,1
7,conformal_sgpo_anis,4,0.0,0.01347244785185181,1
8,conformal_sgpo_anis,44,0.0,-0.19143430154333935,3
9,conformal_sgpo_anis,24,0.0,-0.02162795949783591,1
10,conformal_sgpo_anis,5,0.0,-0.13367624543233522,1
11,conformal_sgpo_anis,1,0.0,0.0711337137696756,1
12,conformal_sgpo_anis,30,0.013333333333333334,0.2924780253252686,1
13,conformal_sgpo_anis,51,0.04666666666666667,-3.6598966064964404,1
14,conformal_sgpo_anis,55,0.0,-0.3349958950934859,2
15,conformal_sgpo_anis,22,0.0,0.07302707506498214,1
16,conformal_sgpo_anis,45,0.0,0.09098068252112256,3
17,conformal_sgpo_anis,77,0.0,-2.567204972279039,4
18,conformal_sgpo_anis,5,0.0,0.02935663179347496,1
19,conformal_sgpo_anis,63,0.0,-2.6582692640711385,1
20,conformal_sgpo_anis,16,0.0,0.20699464188316202,1
21,conformal_sgpo_anis,8,0.0,0.008137981728299304,1
22,conformal_sgpo_anis,30,0.0,0.02048591020765736,1
23,conformal_sgpo_anis,13,0.006666666666666667,-2.7126982686283845,1
