seed,method,violations,goal_rate,final_return,n_hardened_regions
0,ppo,7,0.0,0.6036244864917769,0
1,ppo,28,0.0,0.4838455808973976,0
2,ppo,15,0.0,0.18778587742454814,0
3,ppo,27,0.0,1.4311586121143853,0
4,ppo,9,0.0,0.36175940552158,0
5,ppo,56,0.0,0.4900591270548119,0
6,ppo,30,0.0,2.642417003806965,0
7,ppo,32,0.0,0.3036358877513255,0
8,ppo,28,0.0,3.1765746592339106,0
9,ppo,17,0.0,-0.04564364304734671,0
10,ppo,32,0.0,0.7806322395597884,0
11,ppo,19,0.0,0.5528399417997111,0
12,ppo,34,0.0,0.2763422305134595,0
13,ppo,31,0.0,2.3174101239735485,0
14,ppo,15,0.0,-0.12487926191382276,0
15,ppo,37,0.0,4.433827129279364,0
16,ppo,19,0.0,0.9838501878894951,0
17,ppo,15,0.0,-4.85958757404275,0
18,ppo,64,0.0,5.482787054716847,0
19,ppo,33,0.0,-0.2205159825661643,0
20,ppo,50,0.0,0.013508906401052343,0
21,ppo,5,0.0,0.39866368788694145,0
22,ppo,25,0.0,0.1023979400543747,0
23,ppo,15,0.0,-1.5803837845687183,0
24,ppo,20,0.0,0.05540844480265829,0
25,ppo,55,0.0,1.1617243077866206,0
26,ppo,63,0.0,0.6798915364509639,0
27,ppo,16,0.0,0.00925257277844203,0
28,ppo,26,0.0,-1.0373655281523302,0
29,ppo,28,0.0,-0.16906484386401158,0
30,ppo,77,0.0,-0.3314453660176915,0
31,ppo,57,0.0,1.133328191724063,0
32,ppo,26,0.0,-0.7823155378104764,0
33,ppo,58,0.0,0.4235946877676605,0
34,ppo,29,0.0,3.3400361395952127,0
35,ppo,21,0.0,1.099869508418212,0
36,ppo,43,0.0,1.51167424327298,0
37,ppo,52,0.0,2.1451199680615662,0
38,ppo,33,0.0,1.0837761555166974,0
39,ppo,78,0.0,1.8125517158748246,0
40,ppo,24,0.0,-0.16796710918087826,0
41,ppo,38,0.0,0.19971052093243014,0
42,ppo,14,0.0,0.0460628042268911,0
43,ppo,11,0.0,1.4445911874170616,0
44,ppo,24,0.0,1.5522177281943086,0
45,ppo,30,0.0,0.018959849166510275,0
46,ppo,23,0.0,0.5702102955455842,0
47,ppo,32,0.0,-0.005519949305922011,0
48,ppo,43,0.0,2.579900954624061,0
49,ppo,22,0.0,1.0454953961465885,0
0,cpo,49,0.0,1.0451091284439213,0
1,cpo,30,0.0,1.072759354066883,0
2,cpo,65,0.0,1.5458405111872275,0
3,cpo,21,0.0,-0.10898913169911793,0
4,cpo,91,0.0,-1.5927998578937106,0
5,cpo,90,0.0,-0.5983582212776749,0
6,cpo,56,0.0,0.9526752689959505,0
7,cpo,19,0.0,0.3072805648053512,0
8,cpo,42,0.0,0.6333120761660921,0
9,cpo,5,0.0,0.5559789405025777,0
10,cpo,13,0.0,-1.0381129584386528,0
11,cpo,13,0.0,0.9491381460152746,0
12,cpo,26,0.0,1.4673666392109106,0
13,cpo,38,0.0,-3.211601152392692,0
14,cpo,43,0.0,1.1416295066084916,0
15,cpo,29,0.0,-0.20144678152956494,0
16,cpo,40,0.0,-0.7020830280980128,0
17,cpo,12,0.0,-0.10033135729949208,0
18,cpo,17,0.0,4.2553069385176086,0
19,cpo,23,0.0,0.7485224086977814,0
20,cpo,39,0.0,4.13997603101531,0
21,cpo,17,0.0,3.9486043400651094,0
22,cpo,50,0.0,2.9125015581877505,0
23,cpo,60,0.0,1.4126345419928839,0
24,cpo,45,0.0,0.3685028554384637,0
25,cpo,79,0.0,-0.9406160493619119,0
26,cpo,47,0.0,0.022723818089916498,0
27,cpo,52,0.0,-0.11876090069327119,0
28,cpo,21,0.0,-0.1036919906283437,0
29,cpo,73,0.0,0.11449136740155325,0
30,cpo,29,0.0,-0.42651632369993264,0
31,cpo,65,0.0,-0.3437208053989263,0
32,cpo,17,0.0,3.2879573878203674,0
33,cpo,19,0.0,-0.2139529911352781,0
34,cpo,13,0.0,3.189978042327259,0
35,cpo,13,0.0,0.187874587280639,0
36,cpo,26,0.0,2.0822728279844527,0
37,cpo,42,0.0,0.8181857882673341,0
38,cpo,10,0.0,1.7716437791239854,0
39,cpo,21,0.0,3.4373458027154657,0
40,cpo,27,0.0,-2.171682692960465,0
41,cpo,47,0.0,1.8873607237822672,0
42,cpo,11,0.0,0.24260185372685505,0
43,cpo,27,0.0,0.30367843949361173,0
44,cpo,32,0.0,1.5778883758552786,0
45,cpo,19,0.0,-0.23713935267037684,0
46,cpo,19,0.0,-0.23592187914675272,0
47,cpo,27,0.0,1.476011132618603,0
48,cpo,16,0.0,2.7077319332958734,0
49,cpo,36,0.0,1.0192074521909564,0
0,conformal_sgpo,30,0.0,1.4105033194257601,1
1,conformal_sgpo,6,0.0,0.3546117764352573,1
2,conformal_sgpo,4,0.0,4.346882900413431,1
3,conformal_sgpo,82,0.0,4.174573679832849,3
4,conformal_sgpo,21,0.0,0.7370318847186134,1
5,conformal_sgpo,19,0.0,0.6334134588527734,1
6,conformal_sgpo,41,0.0,-2.3498195634617263,1
7,conformal_sgpo,104,0.0,0.27320331484902916,2
8,conformal_sgpo,44,0.0,-9.616477883152045,1
9,conformal_sgpo,99,0.04666666666666667,-30.14885558137705,2
10,conformal_sgpo,13,0.0,8.745530423646475,1
11,conformal_sgpo,16,0.0,7.043842769848066,1
12,conformal_sgpo,18,0.0,2.053194964973662,1
