seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
9,harmonic_only,3000,0.7356666666666667,0.39,1.0,0.0,4.7959004487630976e-32
9,curl_only,3000,0.741,0.392,1.0,0.0,4.7959004487630976e-32
9,reliability_score,3000,0.7403333333333333,0.376,1.0,0.0,4.7959004487630976e-32
0,raw,3000,0.7336666666666667,0.362,1.0,0.0,4.8452589875097256e-32
0,harmonic_only,3000,0.735,0.372,1.0,0.0,4.8452589875097256e-32
0,curl_only,3000,0.7253333333333334,0.382,1.0,0.0,4.8452589875097256e-32
0,reliability_score,3000,0.7263333333333334,0.372,1.0,0.0,4.8452589875097256e-32
1,raw,3000,0.7396666666666667,0.386,1.0,0.0,4.831873221532357e-32
1,harmonic_only,3000,0.7393333333333333,0.393,1.0,0.0,4.831873221532357e-32
1,curl_only,3000,0.7296666666666667,0.387,1.0,0.0,4.831873221532357e-32
1,reliability_score,3000,0.742,0.38,1.0,0.0,4.831873221532357e-32
2,raw,3000,0.7526666666666667,0.404,1.0,0.0,4.8025372833631616e-32
2,harmonic_only,3000,0.7486666666666667,0.406,1.0,0.0,4.8025372833631616e-32
2,curl_only,3000,0.7513333333333333,0.383,1.0,0.0,4.8025372833631616e-32
2,reliability_score,3000,0.7453333333333333,0.418,1.0,0.0,4.8025372833631616e-32
3,raw,3000,0.7483333333333333,0.382,1.0,0.0,4.805944038032169e-32
3,harmonic_only,3000,0.74,0.352,1.0,0.0,4.805944038032169e-32
3,curl_only,3000,0.7463333333333333,0.382,1.0,0.0,4.805944038032169e-32
3,reliability_score,3000,0.7436666666666667,0.379,1.0,0.0,4.805944038032169e-32
4,raw,3000,0.7466666666666667,0.37,1.0,0.0,4.8249448187206734e-32
4,harmonic_only,3000,0.7523333333333333,0.356,1.0,0.0,4.8249448187206734e-32
4,curl_only,3000,0.7456666666666667,0.374,1.0,0.0,4.8249448187206734e-32
4,reliability_score,3000,0.744,0.384,1.0,0.0,4.8249448187206734e-32
5,raw,3000,0.749,0.394,1.0,0.0,4.811475417586545e-32
5,harmonic_only,3000,0.7453333333333333,0.382,1.0,0.0,4.811475417586545e-32
5,curl_only,3000,0.7573333333333333,0.388,1.0,0.0,4.811475417586545e-32
5,reliability_score,3000,0.7456666666666667,0.377,1.0,0.0,4.811475417586545e-32
6,raw,3000,0.7493333333333333,0.368,1.0,0.0,4.823162050057961e-32
6,harmonic_only,3000,0.757,0.387,1.0,0.0,4.823162050057961e-32
6,curl_only,3000,0.7473333333333333,0.355,1.0,0.0,4.823162050057961e-32
6,reliability_score,3000,0.7523333333333333,0.367,1.0,0.0,4.823162050057961e-32
7,raw,3000,0.7446666666666667,0.369,1.0,0.0,4.806071230488318e-32
7,harmonic_only,3000,0.748,0.386,1.0,0.0,4.806071230488318e-32
7,curl_only,3000,0.7376666666666667,0.389,1.0,0.0,4.806071230488318e-32
7,reliability_score,3000,0.758,0.372,1.0,0.0,4.806071230488318e-32
8,raw,3000,0.7383333333333333,0.383,1.0,0.0,4.8027550002811936e-32
8,harmonic_only,3000,0.743,0.4,1.0,0.0,4.8027550002811936e-32
8,curl_only,3000,0.745,0.397,1.0,0.0,4.8027550002811936e-32
8,reliability_score,3000,0.736,0.401,1.0,0.0,4.8027550002811936e-32
9,raw,3000,0.7333333333333333,0.39,1.0,0.0,4.8164995826588605e-32
9,harmonic_only,3000,0.7353333333333333,0.38,1.0,0.0,4.8164995826588605e-32
9,curl_only,3000,0.7283333333333334,0.381,1.0,0.0,4.8164995826588605e-32
9,reliability_score,3000,0.7353333333333333,0.385,1.0,0.0,4.8164995826588605e-32
0,raw,3000,0.7426666666666667,0.387,1.0,0.0,4.807917987332893e-32
0,harmonic_only,3000,0.739,0.381,1.0,0.0,4.807917987332893e-32
0,curl_only,3000,0.7463333333333333,0.363,1.0,0.0,4.807917987332893e-32
0,reliability_score,3000,0.7413333333333333,0.397,1.0,0.0,4.807917987332893e-32
1,raw,3000,0.7466666666666667,0.376,1.0,0.0,4.831706146505052e-32
1,harmonic_only,3000,0.752,0.4,1.0,0.0,4.831706146505052e-32
1,curl_only,3000,0.7446666666666667,0.361,1.0,0.0,4.831706146505052e-32
1,reliability_score,3000,0.748,0.376,1.0,0.0,4.831706146505052e-32
2,raw,3000,0.7506666666666667,0.379,1.0,0.0,4.8368187068257135e-32
2,harmonic_only,3000,0.7473333333333333,0.379,1.0,0.0,4.8368187068257135e-32
2,curl_only,3000,0.75,0.369,1.0,0.0,4.8368187068257135e-32
2,reliability_score,3000,0.7433333333333333,0.365,1.0,0.0,4.8368187068257135e-32
3,raw,3000,0.743,0.392,1.0,0.0,4.79603786042066e-32
3,harmonic_only,3000,0.7353333333333333,0.384,1.0,0.0,4.79603786042066e-32
3,curl_only,3000,0.73,0.396,1.0,0.0,4.79603786042066e-32
3,reliability_score,3000,0.7353333333333333,0.418,1.0,0.0,4.79603786042066e-32
4,raw,3000,0.759,0.372,1.0,0.0,4.8095133074953147e-32
4,harmonic_only,3000,0.7673333333333333,0.377,1.0,0.0,4.8095133074953147e-32
4,curl_only,3000,0.7566666666666667,0.367,1.0,0.0,4.8095133074953147e-32
4,reliability_score,3000,0.7496666666666667,0.367,1.0,0.0,4.8095133074953147e-32
5,raw,3000,0.7476666666666667,0.393,1.0,0.0,4.802580886151111e-32
5,harmonic_only,3000,0.7496666666666667,0.385,1.0,0.0,4.802580886151111e-32
5,curl_only,3000,0.7613333333333333,0.372,1.0,0.0,4.802580886151111e-32
5,reliability_score,3000,0.7546666666666667,0.364,1.0,0.0,4.802580886151111e-32
6,raw,3000,0.7463333333333333,0.388,1.0,0.0,4.821818752907056e-32
6,harmonic_only,3000,0.7396666666666667,0.368,1.0,0.0,4.821818752907056e-32
6,curl_only,3000,0.7506666666666667,0.357,1.0,0.0,4.821818752907056e-32
6,reliability_score,3000,0.748,0.363,1.0,0.0,4.821818752907056e-32
7,raw,3000,0.7573333333333333,0.381,1.0,0.0,4.816576894997606e-32
7,harmonic_only,3000,0.7556666666666667,0.387,1.0,0.0,4.816576894997606e-32
