seed,method,violations,goal_rate,final_return,n_hardened_regions
37,conformal_sgpo_anis,98,0.0,-7.654613030698556,3
38,conformal_sgpo_anis,0,0.0,-0.0145871307777918,1
39,conformal_sgpo_anis,4,0.0,0.0168065275338186,1
40,ppo,16,0.0,-2.909617432188875,0
41,ppo,72,0.0,-0.0113691215384117,0
42,ppo,19,0.0,-0.2572375736560282,0
43,ppo,59,0.0,-3.227343267663829,0
44,ppo,24,0.0,-0.5570632181788352,0
45,ppo,40,0.0,-1.415999228523093,0
46,ppo,15,0.0,-0.0629355353587731,0
47,ppo,14,0.0,-0.0471386849066678,0
48,ppo,33,0.0,-0.5742166444488506,0
49,ppo,35,0.0,-0.0262234391169097,0
40,cpo,11,0.0,-1.866725706865076,0
41,cpo,21,0.0,-0.031611328295729,0
42,cpo,23,0.0,0.221219049912336,0
43,cpo,3,0.0,-0.0182658683595324,0
44,cpo,42,0.0,-1.90789105941736,0
45,cpo,25,0.0,-0.2003820760162609,0
46,cpo,15,0.0,-0.5690068043012514,0
47,cpo,52,0.0,-0.010325793362316,0
48,cpo,22,0.0,0.015663567100045,0
49,cpo,14,0.0,-0.5398560841892823,0
40,conformal_sgpo,4,0.0,-0.1104662758844199,1
41,conformal_sgpo,7,0.0,0.0041715057249067,1
42,conformal_sgpo,0,0.0,0.0377932859745977,1
43,conformal_sgpo,2,0.0,-0.0811881694779227,1
44,conformal_sgpo,20,0.0,-10.058266901177454,1
45,conformal_sgpo,24,0.0,-0.0094599914535994,1
46,conformal_sgpo,11,0.0,-0.0149719047561416,1
47,conformal_sgpo,37,0.0,-8.923261814491662,1
48,conformal_sgpo,5,0.0,-0.0874847431604445,1
49,conformal_sgpo,13,0.0,-0.415753758199762,1
40,conformal_sgpo_anis,4,0.0,-0.1112019699603965,1
41,conformal_sgpo_anis,15,0.0,-0.7531703534591699,1
42,conformal_sgpo_anis,0,0.0,0.037793265580414,1
43,conformal_sgpo_anis,2,0.0,-0.0705301430452791,1
44,conformal_sgpo_anis,4,0.0,0.0575722449912597,1
45,conformal_sgpo_anis,75,0.0,-7.298629234136306,2
46,conformal_sgpo_anis,11,0.0,-0.0272429240754915,1
47,conformal_sgpo_anis,46,0.0,-6.382378108294336,1
48,conformal_sgpo_anis,5,0.0,-0.056396969492306,1
49,conformal_sgpo_anis,20,0.0066666666666666,-2.3005635610286204,1
